Planentwurf Wintersemester 2023/24 IAA (Stand 05.07.2023);;;;;;;;;;
Name;Titel;Art;Modus;oblig.;wahlobl.;fakult.;Dozent;Tag;Zeit;Raum
271412-101;"Sprachpraxis101
Foundation Course";Ü;wöchentl. in PZ;"SELAEn1
B_AA__1";"B_Ge__5
B_Pä__1
B_Ps__5";;Phillips, Jeff;Di;15:30-18:45;"2/SPR1
(C25.SPR1)"
271412-102;"Sprachpraxis102
Integrated Language Course (ILC - Group A)";Ü;wöchentl. in PZ;"SELAEn1
B_AA__1";B_Ge__5;;Phillips, Jeff;Mo;15:30-18:45;"2/SPR1
(C25.SPR1)"
271412-103;"Sprachpraxis103
Integrated Language Course (ILC - Group B)";Ü;wöchentl. in PZ;B_AA__1;B_Ge__5;;Phillips, Jeff;Do;11:30-15:15;"2/SPR1
(C25.SPR1)"
271412-104;"Sprachpraxis104
Grammar (Group A)";Ü;wöchentl.;"SELAEn5
B_AA__1";;;Phillips, J.;Di;13:45-15:15;"2/SPR1
(C25.SPR1)"
271412-105;"Sprachpraxis105
Grammar (Group B)";Ü;wöchentl.;"SELAEn5
B_AA__1";;;Phillips, J.;Di;11:30-13:00;"2/SPR1
(C25.SPR1)"
271412-106;"Sprachpraxis106
Listening (Group A)";Ü;wöchentl.;B_AA__3;SELAEn5;;Phillips, J.;Do;15:30-17:00;"2/SPR1
(C25.SPR1)"
271412-107;"Sprachpraxis107
Listening (Group B)";Ü;wöchentl.;B_AA__3;SELAEn5;;Phillips, J.;Mo;11:30-13:00;"2/SPR1
(C25.SPR1)"
271412-108;"Sprachpraxis108
Reading";Ü;wöchentl.;B_AA__3;SELAEn5;;Pfundt, J.;Mo;13:45-15:15;"2/SPR1
(C25.SPR1)"
271412-109;"Sprachpraxis109
Multimedia Skills";Ü;wöchentl.;M_AA__3;;;Van der Bom, Isabelle;Mi;09:15-10:45;"2/SPR1
(C25.SPR1)"
271412-110;"Sprachpraxis110
English for Academic Purposes";Ü;wöchentl.;"M_AA__1
M_AA__3";;;Van der Bom, Isabelle;Mo;09:15-10:45;"2/SPR1
(C25.SPR1)"
271412-111;"Sprachpraxis111
Translation German-English/English-German";Ü;wöchentl.;M_AA__1;;;Pfundt, Johannes;Di;09:15-10:45;"2/SPR1
(C25.SPR1)"
271431-101;"Engl.Sprachw101
Introduction to English Language and Linguistics";V;wöchentl.;"SELAEn1
B_AA__1";"B_Ge__3
B_Ge__5
B_Pä__1
B_Ps__5";SGWs;Sanchez-Stockhammer, Christina;Di;09:15-10:45;"2/B201
(C22.201)"
271431-103;"Engl.Sprachw103
History of the English Language";V;wöchentl. in PZ;"SELAEn3
B_AA__1";"B_Ge__3
B_Ge__5
B_Pä__3
B_Pä__5";SGWs;Sanchez-Stockhammer, Christina;Mo;13:30-15:00;"2/B201
(C22.201)"
271431-104;"Engl.Sprachw104
Applied and Digital English Linguistics";S;wöchentl.;;"M_AA__3
M_SM__3";;Sanchez-Stockhammer, Christina;Mo;15:30-17:00;"2/W035
(C25.035)"
271431-105;"Engl.Sprachw105
Digital Research Methods in Linguistics";S;wöchentl.;;"M_AA__1
M_SM__3";;Yurchenko, A.;Do;15:30-17:00;"2/W066
(C25.066)"
271431-107;"Engl.Sprachw107
Tutorium zur V: Introduction to English Language and Linguistics";T;wöchentl.;B_AA__1;;SELAEn1;NN 16;Mi;13:45-15:15;"2/N002
(C10.002)"
271431-108;"Engl.Sprachw108
Tutorium zur V: History of the English Language";T;wöchentl.;B_AA__3;;SELAEn3;NN 15;Do;09:15-10:45;"1/273
(A10.273)"
271431-109;"Engl.Sprachw109
Research Colloquium";K;wöchentl.;;M_AA__3;;Sanchez-Stockhammer, Christina;Di;13:45-15:15;"2/N101
(C10.101)"
271431-111;"Engl.Sprachw111
English Linguistics (Group A)";S;wöchentl.;"SELAEn1
B_AA__1";;B_AA__3;Friebel, A.;Mi;15:30-17:00;"2/N105
(C10.105)"
271431-112;"Engl.Sprachw112
English Linguistics (Group B)";S;wöchentl.;"SELAEn1
B_AA__1";;B_AA__3;Scholz, A.-K.;Mo;11:30-13:00;"2/NK003
(C10.U03)"
271432-101;"Angl.Literw.101
History of Literatures in English I: From the Renaissance to Romanticism";V;wöchentl.;"SELAEn5
B_AA__3
B_AA__1";"B_Ge__3
B_Ge__5
B_Pä__3";SGWs;Sandten, C.;Mi;09:15-10:45;"2/B201
(C22.201)"
271432-102;"Angl.Literw.102
Introduction to the Study of Literatures in English";V;wöchentl.;"B_AA__3
SELAEn3
B_AA__1";"B_Ge__3
B_Ge__5";SGWs;Beck, M.;Mi;11:30-13:00;"2/B201
(C22.201)"
271432-103;"Angl.Literw.103
Tutorium zur V: Introduction to the Study of Literatures in English";T;wöchentl.;B_AA__1;;SELAEn3;NN 12;Mo;17:15-18:45;"1/368
(A10.368)"
271432-104;"Angl.Literw.104
Writing (B)lack in the Union Jack";S;wöchentl.;;"M_AA__1
M_DK__3
M_SM__3";SGWs;Sandten, C.;Di;11:30-13:00;"2/N005
(C10.005)"
271432-105;"Angl.Literw.105
Food, Identity and Memory in Diasporic Literatures";S;wöchentl.;M_AA__3;"M_DK__3
M_SM__3";;Karmakar, I.;Di;11:30-13:00;"2/D221
(C24.221)"
271432-106;"Angl.Literw.106
Examenskolloquium/Research Colloquium";K;wöchentl.;;M_AA__3;;Sandten, C.;Mi;11:30-13:00;"2/39/233
(C46.233)"
271432-107;"Angl.Literw.107
Postcolonial Shakespeare Rewrites";S;wöchentl.;;"M_AA__1
M_AA__3
M_DK__3
M_SM__3";SGWs;Sandten, C.;Di;13:45-15:15;"2/W037
(C25.037)"
271432-108;"Angl.Literw.108
Brexit Literatures";S;wöchentl.;;"B_AA__3
B_AA__5
B_Pä__3";SGWs;Beck, M.;Mi;15:30-17:00;"2/D001
(C24.001)"
271432-D109;"Angl.Literw.D109
Doctoral Colloquium";K;kein (dez.LV);;;;Sandten, C.;;-;
271434-101;"Kult./Länder101
Theories and Methods in Anglophone Area Studies";V;wöchentl.;"SELAEn3
B_AA__1";"B_Ge__3
B_Ge__5
B_Pä__3";SGWs;Stolz, K.;Do;09:15-10:45;"2/B101
(C22.101)"
271434-102;"Kult./Länder102
Theories and Methods in Comparative Social Sciences";S;wöchentl.;;"M_AA__1
M_Po__3";;Stolz, K.;Di;11:30-13:00;"2/N006
(C10.006)"
271434-103;"Kult./Länder103
US American Politics and Society";S;wöchentl.;;"B_AA__3
B_InEn3
SELAEn5
B_Pä__3";;Ziesche, D.;Di;11:30-13:00;"2/W059
(C25.059)"
271434-104;"Kult./Länder104
Research Colloquium";K;wöchentl.;;M_AA__3;;Stolz, K.;Di;17:15-18:45;"2/N002
(C10.002)"
271434-105;"Kult./Länder105
Comparative Social and Cultural Research";S;wöchentl.;;"M_AA__3
M_Po__3";;Stolz, K.;Di;13:45-15:15;"2/W044
(C25.044)"
271434-108;"Kult./Länder103
British Politics and Society";S;wöchentl.;;"B_AA__3
B_InEn3
B_Pä__3
SELAEn5";;Ziesche, D.;Di;15:30-17:00;"2/W043
(C25.043)"
271435-122;"TESOL122
Digital Learning";S;wöchentl.;M_AA__1;;;Maschke, K.;Mi;13:45-15:15;"1/273
(A10.273)"
271435-123;"TESOL123
Introduction to English Language Teaching";S;wöchentl.;;M_AA__1;;Maschke, K.;Mi;15:30-17:00;"1/273
(A10.273)"
271435-124;"TESOL124
Intercultural Curriculum Planning and Materials Development";Ü;wöchentl.;;M_AA__3;;NN 14;Fr;13:45-15:15;"2/W059
(C25.059)"
271435-126;"TESOL126
TESOL Research Colloquium";K;wöchentl.;;M_AA__3;;Schluer, J.;Fr;11:30-13:00;"2/W059
(C25.059)"
271435-127;"TESOL127
Intercultural communication and emotions";Ü;wöchentl.;;;"B_AA__1
B_AA__3
B_AA__5
B_Pä__1
B_Pä__3
B_Pä__5
B_Ge__1
B_Ge__3
B_Ge__5
SGWs
M_AA__1
M_AA__3
M_Ko__1
M_Ko__3
M_GI__1
M_GI__3";Liu, Y.;Mo;15:30-17:00;"2/W038
(C25.038)"
271435-D125;"TESOLD125
Classroom Observation and Practical Language Teaching";P;kein (dez.LV);;M_AA__3;;Schluer, J.;;-;